%time,field
1412088608628992224,105
1412088608730108542,108
1412088608829532523,96
1412088608928450029,91
1412088609028567172,106
1412088609128760225,86
1412088609228610774,86
1412088609329431804,110
1412088609429558156,93
1412088609528503971,88
1412088609628471909,94
1412088609728482203,104
1412088609828438899,82
1412088609928468820,92
1412088610028431367,102
1412088610128410482,82
1412088610228442027,92
1412088610328378827,93
1412088610428435646,80
1412088610528401739,120
1412088610628524234,89
1412088610728278110,111
1412088610828375327,80
1412088610928390866,98
1412088611028455425,86
1412088611128535696,98
1412088611229097226,76
1412088611328567687,115
1412088611428364607,82
1412088611528849769,89
1412088611628366643,93
1412088611728372758,70
1412088611828385342,81
1412088611928816624,99
1412088612028338318,83
1412088612128382476,97
1412088612228357148,111
1412088612328387598,111
1412088612428273328,98
1412088612528392377,93
1412088612628660254,85
1412088612728308306,120
1412088612828419718,88
1412088612929133407,98
1412088613028687130,84
1412088613128458043,80
1412088613228913088,104
1412088613328386954,88
1412088613429550939,107
1412088613528406636,85
1412088613628823780,81
1412088613728391940,93
1412088613828702883,91
1412088613928527432,94
1412088614028550724,91
1412088614128398071,78
1412088614228286210,91
1412088614328354672,84
1412088614428436357,90
1412088614528407308,78
1412088614628453171,90
1412088614729114604,77
1412088614828410588,101
1412088614928322636,99
1412088615028405876,84
1412088615128384834,79
1412088615229557562,80
1412088615328778618,91
1412088615428802910,92
1412088615528702931,99
1412088615628945022,94
1412088615728874167,91
1412088615829536390,95
1412088615928371810,73
1412088616029349005,92
1412088616129549764,96
1412088616228554267,96
1412088616329555150,101
1412088616428368687,86
1412088616528813487,85
1412088616628547091,106
1412088616729563506,73
1412088616828439315,82
1412088616928431558,86
1412088617028627203,86
1412088617128438118,83
1412088617229207940,93
1412088617328506999,95
1412088617428361275,101
1412088617529503342,83
1412088617630808444,75
1412088617728846175,83
1412088617828287005,81
1412088617929350180,76
1412088618028434853,93
1412088618128606380,88
1412088618228954385,90
1412088618328259276,76
1412088618428379240,86
1412088618528450589,81
